tipo,minuto,barco_id,decision,desde,hasta,ocupacion,unidad_id,par,tiempo_espera,tiempo_viaje
baja,424.0,barco_2,,,,,escalon_2_00001_p2,"('kleppesto', 'laksevag')",,6.0
baja,424.0,barco_2,,,,,escalon_2_00001_p3,"('kleppesto', 'laksevag')",,6.0
baja,424.0,barco_2,,,,,escalon_2_00001_p4,"('kleppesto', 'laksevag')",,6.0
baja,424.0,barco_2,,,,,escalon_2_00001_p5,"('kleppesto', 'laksevag')",,6.0
baja,424.0,barco_2,,,,,escalon_2_00001_p6,"('kleppesto', 'laksevag')",,6.0
baja,424.0,barco_2,,,,,escalon_2_00001_p7,"('kleppesto', 'laksevag')",,6.0
baja,424.0,barco_2,,,,,escalon_2_00001_p8,"('kleppesto', 'laksevag')",,6.0
baja,424.0,barco_2,,,,,escalon_2_00001_p9,"('kleppesto', 'laksevag')",,6.0
decision,424.0,barco_1,bryggen,,,,,,,
sube,424.0,barco_1,,,,,escalon_2_00009_p0,"('kleppesto', 'bryggen')",5.949999999999989,
sube,424.0,barco_1,,,,,escalon_2_00009_p1,"('kleppesto', 'bryggen')",5.949999999999989,
sube,424.0,barco_1,,,,,escalon_2_00009_p2,"('kleppesto', 'bryggen')",5.949999999999989,
sube,424.0,barco_1,,,,,escalon_2_00009_p3,"('kleppesto', 'bryggen')",5.949999999999989,
sube,424.0,barco_1,,,,,escalon_2_00009_p4,"('kleppesto', 'bryggen')",5.949999999999989,
sube,424.0,barco_1,,,,,escalon_2_00009_p5,"('kleppesto', 'bryggen')",5.949999999999989,
sube,424.0,barco_1,,,,,escalon_2_00014_p0,"('kleppesto', 'bryggen')",3.5600000000000023,
sube,424.0,barco_1,,,,,escalon_2_00014_p1,"('kleppesto', 'bryggen')",3.5600000000000023,
sube,424.0,barco_1,,,,,escalon_2_00014_p2,"('kleppesto', 'bryggen')",3.5600000000000023,
sube,424.0,barco_1,,,,,escalon_2_00014_p3,"('kleppesto', 'bryggen')",3.5600000000000023,
sube,424.0,barco_1,,,,,escalon_2_00014_p4,"('kleppesto', 'bryggen')",3.5600000000000023,
sube,424.0,barco_1,,,,,escalon_2_00014_p5,"('kleppesto', 'bryggen')",3.5600000000000023,
sube,424.0,barco_1,,,,,escalon_2_00014_p6,"('kleppesto', 'bryggen')",3.5600000000000023,
sube,424.0,barco_1,,,,,escalon_2_00014_p7,"('kleppesto', 'bryggen')",3.5600000000000023,
sube,424.0,barco_1,,,,,escalon_2_00014_p8,"('kleppesto', 'bryggen')",3.5600000000000023,
movimiento,424.0,barco_1,,kleppesto,bryggen,15.0,,,,
decision,424.0,barco_2,sandviken,,,,,,,
movimiento,424.0,barco_2,,laksevag,sandviken,0.0,,,,
decision,434.0,barco_0,bryggen,,,,,,,
sube,434.0,barco_0,,,,,escalon_2_00012_p0,"('kleppesto', 'bryggen')",5.610000000000014,
sube,434.0,barco_0,,,,,escalon_2_00012_p1,"('kleppesto', 'bryggen')",5.610000000000014,
sube,434.0,barco_0,,,,,escalon_2_00012_p2,"('kleppesto', 'bryggen')",5.610000000000014,
sube,434.0,barco_0,,,,,escalon_2_00012_p3,"('kleppesto', 'bryggen')",5.610000000000014,
sube,434.0,barco_0,,,,,escalon_2_00012_p4,"('kleppesto', 'bryggen')",5.610000000000014,
sube,434.0,barco_0,,,,,escalon_2_00012_p5,"('kleppesto', 'bryggen')",5.610000000000014,
sube,434.0,barco_0,,,,,escalon_2_00012_p6,"('kleppesto', 'bryggen')",5.610000000000014,
sube,434.0,barco_0,,,,,escalon_2_00012_p7,"('kleppesto', 'bryggen')",5.610000000000014,
sube,434.0,barco_0,,,,,escalon_2_00012_p8,"('kleppesto', 'bryggen')",5.610000000000014,
sube,434.0,barco_0,,,,,escalon_2_00012_p9,"('kleppesto', 'bryggen')",5.610000000000014,
