minuto,incomodidad,movimiento,entrega,total
742.0,0.36602499999999905,0.1,0.0,-0.466024999999999
744.0,0.8804694444444431,0.30000000000000004,0.0,-1.180469444444443
746.0,1.6171361111111096,0.30000000000000004,0.0,-1.9171361111111096
748.0,2.576024999999997,0.30000000000000004,0.0,-2.8760249999999967
750.0,3.7571361111111075,0.30000000000000004,0.0,-4.057136111111108
752.0,0.0,0.0,0.0,0.0
754.0,0.003265432098765948,0.1,0.0,-0.10326543209876596
756.0,0.09338888888889166,0.1,0.0,-0.19338888888889166
758.0,0.3069691358024741,0.1,0.0,-0.40696913580247407
760.0,0.0,0.0,0.0,0.0
762.0,0.0,0.0,0.0,0.0
764.0,0.0,0.0,0.0,0.0
766.0,0.0,0.0,0.0,0.0
768.0,0.0,0.0,0.0,0.0
770.0,0.0,0.0,0.0,0.0
772.0,0.0,0.0,0.0,0.0
774.0,0.0,0.0,0.0,0.0
776.0,0.0,0.0,0.0,0.0
778.0,0.0,0.0,0.0,0.0
780.0,0.0,0.0,0.0,0.0
782.0,0.0,0.0,0.0,0.0
784.0,0.0,0.0,0.0,0.0
786.0,0.0,0.0,0.0,0.0
788.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
790.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
792.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
794.0,0.0,0.0,0.0,0.0
796.0,0.0,0.0,0.0,0.0
798.0,0.0,0.0,0.0,0.0
800.0,0.0,0.0,0.0,0.0
802.0,0.0,0.0,0.0,0.0
804.0,0.0,0.0,0.0,0.0
806.0,0.0,0.0,0.0,0.0
808.0,0.0,0.0,0.0,0.0
810.0,0.0,0.0,0.0,0.0
812.0,0.0,0.0,0.0,0.0
814.0,0.0,0.0,0.0,0.0
816.0,0.0,0.1,0.0,-0.1
818.0,0.0,0.1,0.0,-0.1
820.0,0.0,0.1,0.0,-0.1
822.0,0.0,0.0,0.0,0.0
824.0,0.0,0.0,0.0,0.0
826.0,0.0,0.0,0.0,0.0
828.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
830.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
832.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
834.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
836.0,0.0,0.2,0.0,-0.2
838.0,0.016434567901233873,0.1,0.0,-0.11643456790123388
840.0,0.2798222222222196,0.30000000000000004,0.0,-0.5798222222222196
842.0,0.9848197530864186,0.30000000000000004,0.0,-1.2848197530864187
844.0,1.8863703703703587,0.2,0.0,-2.086370370370359
846.0,3.426617283950599,0.30000000000000004,0.0,-3.726617283950599
848.0,0.9430222222222069,0.2,0.0,-1.1430222222222068
850.0,1.6521580246913374,0.2,0.0,-1.8521580246913374
852.0,2.5588246913579997,0.2,0.0,-2.758824691358
854.0,3.663022222222192,0.2,0.0,-3.863022222222192
856.0,4.964750617283916,0.2,0.0,-5.164750617283916
858.0,6.464009876543171,0.2,0.0,-6.6640098765431715
860.0,0.0,0.1,0.0,-0.1
862.0,0.0,0.1,0.0,-0.1
864.0,0.0,0.2,0.0,-0.2
866.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
868.0,0.0,0.2,0.0,-0.2
870.0,0.0,0.2,0.0,-0.2
872.0,0.0,0.1,0.0,-0.1
874.0,0.0,0.0,0.0,0.0
876.0,0.0,0.0,0.0,0.0
878.0,0.0,0.0,0.0,0.0
880.0,0.0,0.0,0.0,0.0
882.0,0.0,0.0,0.0,0.0
884.0,0.0,0.0,0.0,0.0
886.0,0.0,0.0,0.0,0.0
888.0,0.0,0.0,0.0,0.0
890.0,0.0,0.0,0.0,0.0
892.0,0.0,0.0,0.0,0.0
894.0,0.0,0.1,0.0,-0.1
896.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
898.0,0.0,0.2,0.0,-0.2
900.0,0.0,0.1,0.0,-0.1
902.0,0.0,0.1,0.0,-0.1
904.0,0.0,0.2,0.0,-0.2
906.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
908.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
910.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
912.0,0.0,0.2,0.0,-0.2
914.0,0.0,0.1,0.0,-0.1
916.0,0.000699999999999611,0.30000000000000004,0.0,-0.30069999999999963
918.0,0.1026753086419706,0.30000000000000004,0.0,-0.40267530864197065
920.0,0.377490123456781,0.2,0.0,-0.5774901234567811
922.0,0.9072972222222123,0.2,0.0,-1.1072972222222124
924.0,0.018591358024691817,0.2,0.0,-0.21859135802469182
926.0,0.2548876543209893,0.30000000000000004,0.0,-0.5548876543209893
928.0,0.7627888888888921,0.30000000000000004,0.0,-1.0627888888888921
930.0,0.0,0.0,0.0,0.0
932.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
934.0,0.08299753086420061,0.30000000000000004,0.0,-0.38299753086420063
936.0,0.0,0.2,0.0,-0.2
938.0,0.0,0.1,0.0,-0.1
940.0,0.0348466049382706,0.30000000000000004,0.0,-0.3348466049382707
942.0,0.23314135802468863,0.30000000000000004,0.0,-0.5331413580246886
944.0,0.7719067901234526,0.30000000000000004,0.0,-1.0719067901234527
946.0,1.7551166666666604,0.2,0.0,-1.9551166666666604
948.0,3.2139820987654217,0.2,0.0,-3.413982098765422
950.0,0.2254148148148054,0.2,0.0,-0.4254148148148054
952.0,0.841464197530845,0.30000000000000004,0.0,-1.141464197530845
954.0,1.9266493827160196,0.30000000000000004,0.0,-2.22664938271602
956.0,3.4809703703703314,0.2,0.0,-3.6809703703703316
958.0,2.8616333333333093,0.1,0.0,-2.9616333333333094
960.0,4.312003703703675,0.30000000000000004,0.0,-4.6120037037036745
962.0,6.0586802469135455,0.30000000000000004,0.0,-6.358680246913545
964.0,8.202383950617245,0.2,0.0,-8.402383950617244
966.0,0.3990222222222186,0.2,0.0,-0.5990222222222186
968.0,0.8948246913580193,0.2,0.0,-1.0948246913580193
970.0,1.588158024691351,0.30000000000000004,0.0,-1.888158024691351
972.0,2.479022222222213,0.30000000000000004,0.0,-2.7790222222222134
974.0,3.5674172839506073,0.1,0.0,-3.6674172839506074
976.0,4.85334320987653,0.30000000000000004,0.0,-5.15334320987653
978.0,6.336799999999986,0.30000000000000004,0.0,-6.636799999999986
