#{"t_start": 1788351415.8851364, "env_id": "None"}
r,l,t
-1416.434675,90,85.22678
-1893.810876,90,85.504159
-1947.000967,90,85.793587
-2668.947807,90,86.070551
-1510.939192,90,86.379491
-1644.86792,90,86.659623
-2254.668561,90,88.483301
-4505.575532,90,88.774047
-1864.822275,90,89.207904
-6637.026281,90,89.763132
-2991.657073,90,90.255326
-1459.751859,90,90.595263
-2881.790546,90,91.038976
-2811.78298,90,91.358641
-790.67512,90,91.700354
-3095.856543,90,92.070135
-2498.878617,90,92.447823
-4469.641221,90,92.863981
-2733.710017,90,93.255283
-2701.00845,90,93.718689
-2531.898097,90,94.059987
-1299.404789,90,94.428871
-2791.35419,90,94.782674
-1592.766131,90,95.422479
-3692.602106,90,95.9185
-2826.080269,90,96.395557
-2016.129372,90,96.850191
-2577.379421,90,97.213295
-4527.428788,90,97.712707
-2027.416147,90,100.081099
-3774.015958,90,100.486963
-1337.719507,90,100.935942
-2493.544486,90,101.30703
-947.226176,90,101.640536
-1409.205786,90,102.060246
-2727.672126,90,102.489314
-2350.623176,90,102.924046
-4410.381165,90,103.331646
-2167.751111,90,103.75327
-3793.799421,90,104.124476
-2740.790509,90,104.509179
-2715.96853,90,104.89974
-3592.585757,90,105.358498
-4883.586051,90,105.838887
-1151.719754,90,106.348022
-2643.844364,90,106.861928
-1356.243131,90,107.299903
-574.581188,90,107.736537
-1710.725541,90,108.140228
-2006.184611,90,108.475265
-3655.926565,90,109.027717
-3928.420157,90,109.42183
-4849.558583,90,111.434128
-2739.784411,90,111.831541
-976.177871,90,112.179219
-3897.299743,90,112.622509
-2174.862519,90,113.069887
-2064.543665,90,113.392164
-2455.898309,90,113.816583
-2396.353973,90,114.25558
-3645.210018,90,114.637751
-4777.253565,90,115.006828
-2835.389856,90,115.473588
-2751.089117,90,115.880907
-4495.764669,90,116.314054
-3119.985033,90,116.895056
-2195.754692,90,117.308094
-3524.810959,90,117.784562
-3425.921885,90,118.146978
-2707.704069,90,118.522039
-1615.304578,90,118.845987
